,date,revenue,price,FirstName,LastName,date,CurrentEmploymentType,CurrentEmploymentTitle
0,1/6/2014,7803.4,4540.08,Albina,Hafon,1/6/2014,Facilities,Truck Driver
1,1/7/2014,7376.55,3840.37,Benito,Hawelon,1/7/2014,Facilities,Truck Driver
2,1/8/2014,5492.3,2769.12,Henk,Mies,1/8/2014,Facilities,Truck Driver
3,1/9/2014,11892.17,4792.5,Dylan,Scozzese,1/9/2014,Facilities,Truck Driver
4,1/10/2014,4039.36,4039.36,Claudio,Hawelon,1/10/2014,Facilities,Truck Driver
5,1/11/2014,0,0,NaN,NaN,NaN,NaN,NaN
6,1/12/2014,0,0,NaN,NaN,NaN,NaN,NaN
7,1/13/2014,10262.58,4417.03,Henk,Mies,1/13/2014,Facilities,Truck Driver
8,1/14/2014,8526.01,4918.39,Henk,Mies,1/14/2014,Facilities,Truck Driver
9,1/15/2014,4028.28,3152.41,Henk,Mies,1/15/2014,Facilities,Truck Driver
10,1/16/2014,8732.81,3917.3,Henk,Mies,1/16/2014,Facilities,Truck Driver
11,1/17/2014,0,0,NaN,NaN,NaN,NaN,NaN
12,1/18/2014,0,0,NaN,NaN,NaN,NaN,NaN
13,1/19/2014,0,0,NaN,NaN,NaN,NaN,NaN
