,date,revenue,price,FirstName,LastName,date,CurrentEmploymentType,CurrentEmploymentTitle
0,1/6/2014,0,,,,,,
1,1/7/2014,2149.28,2149.28,Dylan,Scozzese,1/7/2014,Facilities,Truck Driver
2,1/8/2014,0,,,,,,
3,1/9/2014,1158.36,1158.36,Dylan,Scozzese,1/9/2014,Facilities,Truck Driver
4,1/10/2014,0,,,,,,
5,1/11/2014,0,,,,,,
6,1/12/2014,0,,,,,,
7,1/13/2014,0,,,,,,
8,1/14/2014,4277.4,4277.4,Dylan,Scozzese,1/14/2014,Facilities,Truck Driver
9,1/15/2014,0,,,,,,
10,1/16/2014,1897.05,1897.05,Dylan,Scozzese,1/16/2014,Facilities,Truck Driver
11,1/17/2014,0,,,,,,
12,1/18/2014,0,,,,,,
13,1/19/2014,0,,,,,,
