,date,revenue,price,FirstName,LastName,CurrentEmploymentType,CurrentEmploymentTitle
0,1/6/2014,380.46,106.93,Carla,Forluniau,Administration,Assistant to IT Group Manager
1,1/7/2014,264.6,82.25,Isak,Baza,Information Technology,IT Technician
2,1/8/2014,148.69,36.85,Willem,Vasco-Pais,Executive,Environmental Safety Advisor
3,1/9/2014,189.66,89.41,Lucas,Alcazar,Information Technology,IT Helpdesk
4,1/10/2014,251.44,113.33,Isak,Baza,Information Technology,IT Technician
5,1/11/2014,221.58,89.54,Isande,Borrasca,Engineering,Drill Technician
6,1/12/2014,11.2,11.2,Brand,Tempestad,Engineering,Drill Technician
7,1/13/2014,326.19,116.32,Loreto,Bodrogi,Security,Site Control
8,1/14/2014,89.87,31.09,Linda,Lagos,Administration,Assistant to COO
9,1/15/2014,268.93,88.83,Felix,Balas,Engineering,Engineer
10,1/16/2014,234.12,69.27,Edvard,Vann,Security,Perimeter Control
11,1/17/2014,230.86,79.67,Isia,Vann,Security,Perimeter Control
12,1/18/2014,193.85,111.93,Orhan,Strum,Executive,SVP/COO
13,1/19/2014,47.8,47.8,Felix,Resumir,Security,Security Group Manager
