,date,revenue,price,FirstName,LastName,date,CurrentEmploymentType,CurrentEmploymentTitle
0,1/6/2014,398.66,276.9,Lucas,Alcazar,1/6/2014,Information Technology,IT Helpdesk
1,1/7/2014,387.27,308.36,Vira,Frente,1/7/2014,Engineering,Hydraulic Technician
2,1/8/2014,136.01,136.01,Felix,Balas,1/8/2014,Engineering,Engineer
3,1/9/2014,454.5,229.98,Ada,Campo-Corrente,1/9/2014,Executive,SVP/CIO
4,1/10/2014,126.13,126.13,Vira,Frente,1/10/2014,Engineering,Hydraulic Technician
5,1/11/2014,316.8,211.47,Minke,Mies,1/11/2014,Security,Perimeter Control
6,1/12/2014,259.17,195.81,Adra,Nubarron,1/12/2014,Engineering,Geologist
7,1/13/2014,337.48,288,Ingrid,Barranco,1/13/2014,Executive,SVP/CFO
8,1/14/2014,279.49,228.72,Felix,Balas,1/14/2014,Engineering,Engineer
9,1/15/2014,228.15,228.15,Varro,Awelon,1/15/2014,Facilities,Janitor
10,1/16/2014,375.09,283.38,Varro,Awelon,1/16/2014,Facilities,Janitor
11,1/17/2014,39.41,39.41,Gustav,Cazar,1/17/2014,Engineering,Hydraulic Technician
12,1/18/2014,451.67,226.49,Orhan,Strum,1/18/2014,Executive,SVP/COO
13,1/19/2014,528.95,274.66,Adra,Nubarron,1/19/2014,Engineering,Geologist
