,date,revenue,price,FirstName,LastName,date,CurrentEmploymentType,CurrentEmploymentTitle
0,1/6/2014,185.27,32.83,Hennie,Osvaldo,1/6/2014,Security,Perimeter Control
1,1/7/2014,341.64,98.53,Brand,Tempestad,1/7/2014,Engineering,Drill Technician
2,1/8/2014,379.9,91.87,Varja,Lagos,1/8/2014,Security,Badging Office
3,1/9/2014,376.95,98.25,Dante,Coginian,1/9/2014,Facilities,Lead Janitor
4,1/10/2014,603.23,97.25,Edvard,Vann,1/10/2014,Security,Perimeter Control
5,1/11/2014,0,,,,,,
6,1/12/2014,0,,,,,,
7,1/13/2014,269.48,78.23,Varja,Lagos,1/13/2014,Security,Badging Office
8,1/14/2014,157.36,16.53,Hennie,Osvaldo,1/14/2014,Security,Perimeter Control
9,1/15/2014,223.61,49.7,Minke,Mies,1/15/2014,Security,Perimeter Control
10,1/16/2014,337.18,90.33,Dante,Coginian,1/16/2014,Facilities,Lead Janitor
11,1/17/2014,249.42,52.56,Sven,Flecha,1/17/2014,Information Technology,IT Technician
12,1/18/2014,0,,,,,,
13,1/19/2014,0,,,,,,
