,date,revenue,price,FirstName,LastName,CurrentEmploymentType,CurrentEmploymentTitle
0,1/6/2014,26.96,16.89,Isande,Borrasca,Engineering,Drill Technician
1,1/7/2014,155.32,71.59,Isande,Borrasca,Engineering,Drill Technician
2,1/8/2014,39.08,15.03,Ada,Campo-Corrente,Executive,SVP/CIO
3,1/9/2014,42.58,17.66,Ada,Campo-Corrente,Executive,SVP/CIO
4,1/10/2014,33.89,13.9,Ada,Campo-Corrente,Executive,SVP/CIO
5,1/11/2014,0,,,,,
6,1/12/2014,0,,,,,
7,1/13/2014,85.34,56.4,Isande,Borrasca,Engineering,Drill Technician
8,1/14/2014,36.79,17.14,Ingrid,Barranco,Executive,SVP/CFO
9,1/15/2014,95.24,91.62,Isande,Borrasca,Engineering,Drill Technician
10,1/16/2014,30.83,17.91,Ingrid,Barranco,Executive,SVP/CFO
11,1/17/2014,102.85,88.69,Isande,Borrasca,Engineering,Drill Technician
12,1/18/2014,0,,,,,
13,1/19/2014,0,,,,,
