,date,revenue,price,FirstName,LastName,CurrentEmploymentType,CurrentEmploymentTitle
0,1/6/2014,3959.66,3959.66,Albina,Hafon,Facilities,Truck Driver
1,1/7/2014,4803.13,4803.13,Valeria,Morlun,Facilities,Truck Driver
2,1/8/2014,12933.71,4983.52,Irene,Nant,Facilities,Truck Driver
3,1/9/2014,3820.92,2176.2,Valeria,Morlun,Facilities,Truck Driver
4,1/10/2014,227.81,227.81,Claudio,Hawelon,Facilities,Truck Driver
5,1/11/2014,0,,,,,
6,1/12/2014,0,,,,,
7,1/13/2014,1718.96,1718.96,Albina,Hafon,Facilities,Truck Driver
8,1/14/2014,7956.44,3630.57,Valeria,Morlun,Facilities,Truck Driver
9,1/15/2014,6112.85,3608.08,Valeria,Morlun,Facilities,Truck Driver
10,1/16/2014,2234.17,1814.24,Valeria,Morlun,Facilities,Truck Driver
11,1/17/2014,0,,,,,
12,1/18/2014,0,,,,,
13,1/19/2014,0,,,,,
