,date,revenue,price,FirstName,LastName,date,CurrentEmploymentType,CurrentEmploymentTitle
0,1/6/2014,52.18,28.73,Linnea,Bergen,1/6/2014,Information Technology,IT Group Manager
1,1/7/2014,100.75,52.44,Carla,Forluniau,1/7/2014,Administration,Assistant to IT Group Manager
2,1/8/2014,50.73,16.17,Carla,Forluniau,1/8/2014,Administration,Assistant to IT Group Manager
3,1/9/2014,48.59,19.99,Bertrand,Ovan,1/9/2014,Facilities,Facilities Group Manager
4,1/10/2014,42.99,13.25,Adra,Nubarron,1/10/2014,Engineering,Geologist
5,1/11/2014,0,,,,,,
6,1/12/2014,0,,,,,,
7,1/13/2014,60.06,19.93,Bertrand,Ovan,1/13/2014,Facilities,Facilities Group Manager
8,1/14/2014,44.94,15.63,Linnea,Bergen,1/14/2014,Information Technology,IT Group Manager
9,1/15/2014,96.2,56.31,Carla,Forluniau,1/15/2014,Administration,Assistant to IT Group Manager
10,1/16/2014,130.33,67.19,Bertrand,Ovan,1/16/2014,Facilities,Facilities Group Manager
11,1/17/2014,48.72,14.99,Minke,Mies,1/17/2014,Security,Perimeter Control
12,1/18/2014,0,,,,,,
13,1/19/2014,0,,,,,,
