,date,revenue,price,FirstName,LastName,CurrentEmploymentType,CurrentEmploymentTitle
0,1/6/2014,51.51,51.51,Varro,Awelon,Facilities,Janitor
1,1/7/2014,16.63,16.63,Varro,Awelon,Facilities,Janitor
2,1/8/2014,13.13,13.13,Varro,Awelon,Facilities,Janitor
3,1/9/2014,5.01,5.01,Varro,Awelon,Facilities,Janitor
4,1/10/2014,0,,,,,
5,1/11/2014,0,,,,,
6,1/12/2014,0,,,,,
7,1/13/2014,4.09,4.09,Varro,Awelon,Facilities,Janitor
8,1/14/2014,3.63,3.63,Varro,Awelon,Facilities,Janitor
9,1/15/2014,0,,,,,
10,1/16/2014,10.48,10.48,Varro,Awelon,Facilities,Janitor
11,1/17/2014,19.16,19.16,Varro,Awelon,Facilities,Janitor
12,1/18/2014,0,,,,,
13,1/19/2014,0,,,,,
