,date,revenue,price,FirstName,LastName,CurrentEmploymentType,CurrentEmploymentTitle
0,1/6/2014,489.92,117.82,Stenig,Fusil,Security,Building Control
1,1/7/2014,469.21,89.76,Isia,Vann,Security,Perimeter Control
2,1/8/2014,392.73,99.08,Varja,Lagos,Security,Badging Office
3,1/9/2014,449.09,105.4,Isia,Vann,Security,Perimeter Control
4,1/10/2014,402.77,38.15,Linda,Lagos,Administration,Assistant to COO
5,1/11/2014,141.54,55.36,Stenig,Fusil,Security,Building Control
6,1/12/2014,154.26,42.32,Hideki,Cocinaro,Security,Site Control
7,1/13/2014,539.77,116.87,Emile,Arpa,Facilities,Janitor
8,1/14/2014,364.59,94.26,Hideki,Cocinaro,Security,Site Control
9,1/15/2014,461.48,98.04,Varja,Lagos,Security,Badging Office
10,1/16/2014,396.84,111.31,Brand,Tempestad,Engineering,Drill Technician
11,1/17/2014,349.61,55.4,Minke,Mies,Security,Perimeter Control
12,1/18/2014,276.61,78.36,Stenig,Fusil,Security,Building Control
13,1/19/2014,457.83,100.36,Stenig,Fusil,Security,Building Control
