,date,revenue,price,FirstName,LastName,CurrentEmploymentType,CurrentEmploymentTitle
0,1/6/2014,75.56,27.84,Orhan,Strum,Executive,SVP/COO
1,1/7/2014,131.9,69.84,Willem,Vasco-Pais,Executive,Environmental Safety Advisor
2,1/8/2014,66.36,31.25,Willem,Vasco-Pais,Executive,Environmental Safety Advisor
3,1/9/2014,81.22,37.43,Willem,Vasco-Pais,Executive,SVP/COO
4,1/10/2014,45.66,16.29,Elsa,Orilla,Engineering,Drill Technician
5,1/11/2014,0,,,,,
6,1/12/2014,0,,,,,
7,1/13/2014,50.69,18.31,Isak,Baza,Information Technology,IT Technician
8,1/14/2014,159.06,95.7,Orhan,Strum,Executive,SVP/COO
9,1/15/2014,120.05,84.06,Orhan,Strum,Executive,SVP/COO
10,1/16/2014,43.49,14.86,Elsa,Orilla,Engineering,Drill Technician
11,1/17/2014,26.68,19.11,Elsa,Orilla,Engineering,Drill Technician
12,1/18/2014,0,,,,,
13,1/19/2014,0,,,,,
