,date,revenue,price,FirstName,LastName,date,CurrentEmploymentType,CurrentEmploymentTitle
0,1/6/2014,0,,,,,,
1,1/7/2014,0,,,,,,
2,1/8/2014,0,,,,,,
3,1/9/2014,0,,,,,,
4,1/10/2014,203.91,203.91,Ingrid,Barranco,1/10/2014,Executive,SVP/CFO
5,1/11/2014,0,,,,,,
6,1/12/2014,277.26,277.26,Orhan,Strum,1/12/2014,Executive,SVP/COO
7,1/13/2014,306.36,159.06,Stenig,Fusil,1/13/2014,Security,Building Control
8,1/14/2014,58.85,58.85,Isak,Baza,1/14/2014,Information Technology,IT Technician
9,1/15/2014,0,,,,,,
10,1/16/2014,298.83,298.83,Hideki,Cocinaro,1/16/2014,Security,Site Control
11,1/17/2014,286.24,286.24,Lars,Azada,1/17/2014,Engineering,Engineer
12,1/18/2014,0,,,,,,
13,1/19/2014,432.53,194.51,Lucas,Alcazar,1/19/2014,Information Technology,IT Helpdesk
