,date,revenue,price,FirstName,LastName,date,CurrentEmploymentType,CurrentEmploymentTitle
0,1/6/2014,242.21,242.21,Albina,Hafon,1/6/2014,Facilities,Truck Driver
1,1/7/2014,3920.82,3920.82,Irene,Nant,1/7/2014,Facilities,Truck Driver
2,1/8/2014,3615.61,3615.61,Irene,Nant,1/8/2014,Facilities,Truck Driver
3,1/9/2014,423.14,423.14,Irene,Nant,1/9/2014,Facilities,Truck Driver
4,1/10/2014,0,,,,,,
5,1/11/2014,0,,,,,,
6,1/12/2014,0,,,,,,
7,1/13/2014,2892.74,2892.74,Albina,Hafon,1/13/2014,Facilities,Truck Driver
8,1/14/2014,0,,,,,,
9,1/15/2014,2564,2564,Irene,Nant,1/15/2014,Facilities,Truck Driver
10,1/16/2014,0,,,,,,
11,1/17/2014,0,,,,,,
12,1/18/2014,0,,,,,,
13,1/19/2014,0,,,,,,
