,date,revenue,price,FirstName,LastName,date,CurrentEmploymentType,CurrentEmploymentTitle
0,1/6/2014,2859.51,2859.51,Albina,Hafon,1/6/2014,Facilities,Truck Driver
1,1/7/2014,3207.31,3207.31,Irene,Nant,1/7/2014,Facilities,Truck Driver
2,1/8/2014,3136.01,3136.01,Irene,Nant,1/8/2014,Facilities,Truck Driver
3,1/9/2014,1527.14,1527.14,Irene,Nant,1/9/2014,Facilities,Truck Driver
4,1/10/2014,0,,,,,,
5,1/11/2014,0,,,,,,
6,1/12/2014,0,,,,,,
7,1/13/2014,689.85,689.85,Albina,Hafon,1/13/2014,Facilities,Truck Driver
8,1/14/2014,0,,,,,,
9,1/15/2014,4788.22,4788.22,Irene,Nant,1/15/2014,Facilities,Truck Driver
10,1/16/2014,0,,,,,,
11,1/17/2014,0,,,,,,
12,1/18/2014,0,,,,,,
13,1/19/2014,0,,,,,,
