,date,revenue,price,FirstName,LastName,date,CurrentEmploymentType,CurrentEmploymentTitle
0,1/6/2014,0,,,,,,
1,1/7/2014,0,,,,,,
2,1/8/2014,0,,,,,,
3,1/9/2014,0,,,,,,
4,1/10/2014,204.23,139.72,Edvard,Vann,1/10/2014,Security,Perimeter Control
5,1/11/2014,0,,,,,,
6,1/12/2014,0,,,,,,
7,1/13/2014,0,,,,,,
8,1/14/2014,131.73,131.73,Stenig,Fusil,1/14/2014,Security,Building Control
9,1/15/2014,0,,,,,,
10,1/16/2014,131.01,131.01,Cornelia,Lais,1/16/2014,Administration,Assistant to Security Group Manager
11,1/17/2014,0,,,,,,
12,1/18/2014,0,,,,,,
13,1/19/2014,0,,,,,,
