,date,revenue,price,FirstName,LastName,date,CurrentEmploymentType,CurrentEmploymentTitle
0,1/6/2014,0,,,,,,
1,1/7/2014,0,,,,,,
2,1/8/2014,0,,,,,,
3,1/9/2014,0,,,,,,
4,1/10/2014,241.2,241.2,Isia,Vann,1/10/2014,Security,Perimeter Control
5,1/11/2014,256.24,256.24,Marin,Onda,1/11/2014,Engineering,Drill Site Manager
6,1/12/2014,0,,,,,,
7,1/13/2014,0,,,,,,
8,1/14/2014,223.81,223.81,Hennie,Osvaldo,1/14/2014,Security,Perimeter Control
9,1/15/2014,0,,,,,,
10,1/16/2014,396.42,240.66,Isia,Vann,1/16/2014,Security,Perimeter Control
11,1/17/2014,0,,,,,,
12,1/18/2014,454.51,266.69,Birgitta,Frente,1/18/2014,Engineering,Geologist
13,1/19/2014,0,,,,,,
