,date,revenue,price,FirstName,LastName,date,CurrentEmploymentType,CurrentEmploymentTitle
0,1/6/2014,2144.62,2144.62,Cecilia,Morluniau,1/6/2014,Facilities,Truck Driver
1,1/7/2014,4006.43,1843.33,Cecilia,Morluniau,1/7/2014,Facilities,Truck Driver
2,1/8/2014,3412.03,1738.26,Adan,Morlun,1/8/2014,Facilities,Truck Driver
3,1/9/2014,5478.25,3544,Cecilia,Morluniau,1/9/2014,Facilities,Truck Driver
4,1/10/2014,8269.59,4195.49,Claudio,Hawelon,1/10/2014,Facilities,Truck Driver
5,1/11/2014,0,,,,,,
6,1/12/2014,0,,,,,,
7,1/13/2014,0,,,,,,
8,1/14/2014,878.71,600.19,Benito,Hawelon,1/14/2014,Facilities,Truck Driver
9,1/15/2014,9286.06,4740.68,Cecilia,Morluniau,1/15/2014,Facilities,Truck Driver
10,1/16/2014,5483.61,4543.31,Cecilia,Morluniau,1/16/2014,Facilities,Truck Driver
11,1/17/2014,1753.17,1753.17,Cecilia,Morluniau,1/17/2014,Facilities,Truck Driver
12,1/18/2014,0,,,,,,
13,1/19/2014,0,,,,,,
