,date,revenue,location,price,FirstName,LastName,CurrentEmploymentType,CurrentEmploymentTitle
3,1/6/2014,44.42,Bean There Done That,16.09,Felix,Balas,Engineering,Engineer
27,1/7/2014,39.42,Bean There Done That,13.89,Axel,Calzas,Engineering,Drill Technician
49,1/8/2014,60.66,Bean There Done That,17.45,Lars,Azada,Engineering,Engineer
75,1/9/2014,21.11,Bean There Done That,13.0,Lars,Azada,Engineering,Engineer
99,1/10/2014,60.69,Bean There Done That,18.67,Gustav,Cazar,Engineering,Hydraulic Technician
148,1/13/2014,95.25,Bean There Done That,19.56,Axel,Calzas,Engineering,Drill Technician
172,1/14/2014,40.37,Bean There Done That,19.37,Felix,Balas,Engineering,Engineer
194,1/15/2014,52.67,Bean There Done That,18.96,Gustav,Cazar,Engineering,Hydraulic Technician
220,1/16/2014,55.11,Bean There Done That,19.82,Lars,Azada,Engineering,Engineer
243,1/17/2014,71.92999999999998,Bean There Done That,19.67,Lars,Azada,Engineering,Engineer
