,date,revenue,location,price,FirstName,LastName,CurrentEmploymentType,CurrentEmploymentTitle
6,1/6/2014,28.98,Coffee Cameleon,11.86,Adra,Nubarron,Engineering,Geologist
31,1/7/2014,40.75,Coffee Cameleon,12.44,Carla,Forluniau,Administration,Assistant to IT Group Manager
54,1/8/2014,50.73,Coffee Cameleon,16.17,Carla,Forluniau,Administration,Assistant to IT Group Manager
79,1/9/2014,41.0,Coffee Cameleon,19.99,Bertrand,Ovan,Facilities,Facilities Group Manager
104,1/10/2014,29.74,Coffee Cameleon,11.54,Bertrand,Ovan,Facilities,Facilities Group Manager
152,1/13/2014,60.06,Coffee Cameleon,19.93,Bertrand,Ovan,Facilities,Facilities Group Manager
177,1/14/2014,44.94,Coffee Cameleon,15.63,Linnea,Bergen,Information Technology,IT Group Manager
198,1/15/2014,56.2,Coffee Cameleon,19.93,Adra,Nubarron,Engineering,Geologist
224,1/16/2014,15.53,Coffee Cameleon,7.19,Bertrand,Ovan,Facilities,Facilities Group Manager
247,1/17/2014,48.3,Coffee Cameleon,14.57,Adra,Nubarron,Engineering,Geologist
