,date,revenue,location,price,FirstName,LastName,CurrentEmploymentType,CurrentEmploymentTitle
13,1/6/2014,55.56,Jack's Magical Beans,18.59,Elsa,Orilla,Engineering,Drill Technician
38,1/7/2014,51.90000000000001,Jack's Magical Beans,19.61,Orhan,Strum,Executive,SVP/COO
63,1/8/2014,46.36,Jack's Magical Beans,18.78,Elsa,Orilla,Engineering,Drill Technician
87,1/9/2014,33.54,Jack's Magical Beans,17.43,Willem,Vasco-Pais,Executive,Environmental Safety Advisor
111,1/10/2014,37.44,Jack's Magical Beans,16.29,Elsa,Orilla,Engineering,Drill Technician
159,1/13/2014,50.69,Jack's Magical Beans,18.31,Isak,Baza,Information Technology,IT Technician
184,1/14/2014,50.46,Jack's Magical Beans,18.08,Willem,Vasco-Pais,Executive,Environmental Safety Advisor
206,1/15/2014,28.9,Jack's Magical Beans,19.54,Willem,Vasco-Pais,Executive,Environmental Safety Advisor
231,1/16/2014,43.49,Jack's Magical Beans,14.86,Elsa,Orilla,Engineering,Drill Technician
255,1/17/2014,26.68,Jack's Magical Beans,19.11,Elsa,Orilla,Engineering,Drill Technician
